,ATSPM_ID,name,latitude,longitude,roadway_name
0,VOL-0170,Volusia Ave (US 17/92) at Blue Springs Ave,28.943115,-81.298882,"W BLUE SPRINGS AVE, S VOLUSIA AVE"
0,VOL-0243,US 17/92 & Dirksen Dr,28.86607,-81.317143,"S CHARLES RICHARD BEALL BLVD, BENSON JUNCTION RD, BENSON JUNCTION RD"
0,OSC-1055,Celebration Blvd & Waterside Dr,28.317033,-81.554292,"CELEBRATION BLVD, WATERSIDE DR"
0,LKC-0160,SR 50 at Grand Highway,28.546962,-81.739907,"S GRAND HWY, SR-50"
0,VOL-0373,Indian River Blvd (SR 442) & Old Mission Rd,28.954301,-80.935975,"W INDIAN RIVER BLVD, OLD MISSION RD"
0,ORL-0546,International Drive & Sheraton Inn Ped Crossing,28.462337,-81.461278,INTERNATIONAL DR
0,ORC-0296,John Young Parkway at SR417 North Side,28.374038,-81.425786,"JOHN YOUNG PKWY S, CENTRAL FLORIDA GREENEWAY"
0,ORL-0170,Princeton St & Westmoreland Dr,28.571105,-81.393566,"W PRINCETON ST, WESTMORELAND DR N"
0,ORC-0559,Avalon Park Blvd at S. Crown Hill Blvd,28.525229,-81.150165,"S AVALON PARK BLVD, CROWN HILL BLVD"
0,ORL-0554,Turkey Lake Rd & Paw St,28.471641,-81.474955,"PAW ST, TURKEY LAKE RD"
0,ORC-0405,International Drive & Vineland Ave,28.384491,-81.486429,"INTERNATIONAL DR S, VINELAND AVE"
0,1180,US-17/92 at Spartan Dr,28.642515,-81.354672,"US-17-92, SPARTAN DR, OBRIEN RD"
0,OSC-1112,Buenaventura Boulevard & Royal Palm,28.32498,-81.347752,"BUENAVENTURA BLVD, ROYAL PALM DR"
0,ORC-0350,Orange Ave (SR 527 SB) at CR 506 East(Hoffner Ave),28.475192,-81.369999,"ORANGE AVE S, HOFFNER AVE"
0,BRE-0402,CR 509 (Wickham Rd) at Stadium Pkwy,28.229604,-80.732552,"STADIUM PKWY, N WICKHAM RD"
0,ORL-0080,Anderson St (SR 15 EB) at Primrose Dr,28.537944,-81.347686,"S PRIMROSE DR, E ANDERSON ST"
0,D5I-3045,SR 426 & I-4 WB Ramp,28.593031,-81.382685,"I-4, W FAIRBANKS AVE"
0,1555,SR-436 / Semoran Blvd / Altamonte Dr at CR-427 / Maitland Ave,28.66335,-81.365776,"MAITLAND AVE, E ALTAMONTE DR"
0,D5I-0647,Orange Ave (SR 527) at Office Court,28.455042,-81.364723,"S ORANGE AVE, OFFICE CT"
0,1643,SR-46 at CR-46A / Longwood Markham Rd,28.814597,-81.405655,"LONGWOOD MARKHAM RD, SR-46"
0,BRE-0424,SR A1A at Center St/Buchanan Ave,28.381383,-80.605575,CENTER ST
0,1405,SR 434 & Chapman Rd,28.64109,-81.208,"ALAFAYA TRL, E CHAPMAN RD"
0,OSC-2009,US 192 @ ORANGE BLVD,28.304504,-81.431567,"ORANGE BLVD, W VINE ST"
0,VOL-0175,Nova Rd (SR 5A) & Reed Canal Rd,29.154528,-81.01973,"S NOVA RD, REED CANAL RD"
0,MRN-9004,US 301 & CR 484,29.058878,-82.053038,"SE HAMES RD, US-301"
0,MEL-5069,NASA Blvd (SR 508) & Grumman Ln,28.096093,-80.654724,"W NASA BLVD, GRUMMAN PL"
0,BRE-0355,SR 520 (W King St) at Townsend Rd,28.359843,-80.79225,"TOWNSEND RD, W KING ST"
0,VOL-0187,Granada Blvd (SR 40) at CR 4009 (Williamson Blvd),29.257775,-81.11303,"WILLIAMSON BLVD, W GRANADA BLVD"
0,ORC-0160,SR 423 & Kingswood Dr,28.6058,-81.399,"KINGSWOOD DR, LEE RD"
0,1350,SR 419/434 & Winding Hollow Blvd,28.704816,-81.281294,"WINDSOR CRESENT ST, SR-419"
0,1320,SR 434 at Sheoah Blvd,28.698008,-81.313351,"SHEOAH BLVD, SR-434"
0,ORL-0710,Ramps (I-4) at Anderson St (EB On Ramp),28.536119,-81.382163,W ANDERSON ST
0,1715,SR 46 & Lake Mary Blvd (SR 415),28.78683,-81.21272,"E LAKE MARY BLVD, SR-46"
0,ORL-0691,Millenia Blvd & Millenia Plaza Way,28.493337,-81.427724,"MILLENIA BLVD, MILLENIA PLAZA WAY"
0,MEL-4054,US 1 & Aurora Rd (CR 511),28.134883,-80.633094,AURORA RD
0,ORC-0398,Colonial Dr W at SR 429 SB Ramp,28.551411,-81.559458,"W COLONIAL DR, SR-429-TOLL"
0,1995,HE Thomas Jr Pkwy & Rinehart Rd,28.786505,-81.347239,"RINEHART RD, HE THOMAS JR PKWY"
0,OCA-1111,US 301 at NW 28th St,29.215179,-82.144855,NW PINE AVE
0,ORL-0118,Washington St at Westmoreland Dr,28.543859,-81.393173,"WESTMORELAND DR N, W WASHINGTON ST"
0,ORC-0349,Apopka Vineland at Point Cypress Dr,28.438096,-81.503934,"S APOPKA VINELAND RD, PHILLIPS LANDING BLVD"
0,ORC-0112,SR 426 & Wymore Rd,28.594803,-81.385935,"W FAIRBANKS AVE, S WYMORE RD"
0,ORC-0271,SR 434 & Challenger Pkwy,28.5734,-81.2077,"ALAFAYA TRL N, CHALLENGER PKWY"
0,ORC-0489,Westwood Blvd & Entrance Dr (Westwood Connector),28.41876,-81.467348,"HAWTHORN SUITES ENTR, WESTWOOD BLVD"
0,ORL-0668,Ramps (I-4) at Conroy Rd (EB Ramp),28.492164,-81.431312,"CONROY RD, I-4"
0,2005,I-4 westbound  at Exit 101A:CR-46A,28.786492,-81.354214,"101A, HE THOMAS JR PKWY, COLONIAL CENTER PKWY"
0,ORL-0607,John Young Parkway at Columbia St.,28.525973,-81.4165,"S JOHN YOUNG PKWY, COLUMBIA ST"
0,OSC-1094,US 441 & Osceola School for the Arts/Centerview Blvd,28.341746,-81.403751,N ORANGE BLOSSOM TRL
0,ORL-0684,Eastgate Dr at Conroy Rd,28.486803,-81.426662,"EASTGATE DR, CONROY RD"
0,2260,Douglas Ave  at Central Pkwy,28.6727,-81.3903,"DOUGLAS AVE, W CENTRAL PKWY"
0,1735,Maitland Blvd (SR 414) & Eden Park Rd,28.64009,-81.43558,"EDEN PARK RD, MAITLAND BLVD"
0,ORL-0181,Princeton St & I-4 WB,28.571315,-81.376159,"85, E PRINCETON ST"
0,ORC-0047,US-441 / Orange Blossom Trl at Orl Cntrl Pkwy,28.463095,-81.397276,"S ORANGE BLOSSOM TRL, CHANCERY LN, ORLANDO CENTRAL PKWY"
0,VOL-0178,Nova Rd (SR 5A) & Fleming Ave,29.25994,-81.075051,"S NOVA RD, FLEMING AVE"
0,OSC-2010,US 192 & US 441,28.304477,-81.403684,W VINE ST
0,ORL-0177,Orange Ave (SR 527) at Garland Ave/Legion Pl,28.558002,-81.379258,"LEGION PL, N GARLAND AVE, N ORANGE AVE"
0,ORC-0130,SR 50 & Hastings St,28.552275,-81.459363,"N HASTINGS ST, W COLONIAL DR"
0,2555,Red Bug Lake Rd & Dodd Rd,28.647599,-81.279294,"DODD RD, RED BUG LAKE RD"
0,BRE-0400,Stadium Pkwy at Tavistock Dr/Sonoma Way,28.274812,-80.741071,"STADIUM PKWY, TAVISTOCK DR"
0,ORC-0676,International Dr & Avenida Vista / International Golf Club Rd,28.3991,-81.46077,"INTERNATIONAL DR, INTERNATIONAL GOLF CLUB RD, AVENIDA VISTA"
0,ORL-0100,Westmoreland Dr & Amelia St,28.549356,-81.393258,"WESTMORELAND DR N, W AMELIA ST"
0,ORC-0680,Chickasaw at Winter Song Dr,28.549686,-81.277615,"N CHICKASAW TRL, WINTER SONG DR"
0,ORL-0149,John Young Parkway at Orange Center Blvd,28.531834,-81.413911,"S JOHN YOUNG PKWY, ORANGE CENTER BLVD"
